result_type,donor_cm3,fermi_dirac_fermi_level_eV,boltzmann_fermi_level_eV,electron_ratio_fd_mb,hole_ratio_fd_mb,scope_notes
NUMERICAL RESULT,1.845249285651601e+19,1.118847397395096,1.1129452402011104,0.9999999999909334,0.795880974602037,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.050815567714067e+19,1.1222290277718476,1.1156758103536872,1.0000000000082636,0.7760876861150917,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.2792825476115476e+19,1.125681705012201,1.11840638050676,1.0000000000000995,0.7547096925330741,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.5332014314857755e+19,1.129213008061719,1.1211369506596194,1.000000000000412,0.7316918319670344,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.815407637462959e+19,1.1328312858356622,1.1238675208124784,1.000000000000881,0.7069934255829343,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,3.129052457717753e+19,1.136545727153073,1.1265980909651152,1.0000000000097984,0.6805923561445957,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,3.477638247785852e+19,1.1403664353015865,1.1293286611182924,0.9999999999962982,0.6524895413874606,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,3.865057536070862e+19,1.1443045071942939,1.1320592312710767,0.9999999999992043,0.6227136970116107,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,4.295636490267305e+19,1.148372117003133,1.134789801423918,1.0000000000042277,0.5913262258698914,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,4.774183226072862e+19,1.1525826040691696,1.137520371576775,1.0000000000003055,0.5584260003629948,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,5.306041497635463e+19,1.1569505648031981,1.140250941729634,1.000000000000007,0.5241537288947031,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,5.897150369276523e+19,1.1614919481911365,1.142981511882405,1.0000000000034106,0.48869551836353464,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,6.554110534822609e+19,1.1662241544447254,1.1457120820353521,1.000000000000007,0.452285171986163,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,7.284258025108268e+19,1.1711661362597712,1.1484426521882098,0.999999999998785,0.4152047076278819,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,8.095746126715319e+19,1.1763385021060995,1.151173222341073,0.9999999999998579,0.3777825612896021,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,8.997636426704137e+19,1.1817636209691267,1.15390379249393,1.000000000000007,0.3403889715376982,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1e+20,1.1874657280220604,1.1566343626467892,1.0000000000000142,0.3034281420705896,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
