result_type,temperature_K,electron_incomplete_cm3,hole_incomplete_cm3,electron_complete_cm3,intrinsic_boltzmann_analytical_cm3,ionized_donor_fraction,fermi_level_eV,bandgap_eV,scope_notes
NUMERICAL RESULT,378.68236535956356,999799957918468.0,1229978548.2393157,1000001229730985.5,1108937926176.258,0.9997987279399136,0.7567217877858113,1.1026531125214787,
NUMERICAL RESULT,385.5536349046756,999811414433529.2,2516290226.516502,1000002515809358.0,1586139099883.514,0.9998088981433011,0.747567162267275,1.1006712993364431,
NUMERICAL RESULT,392.5495850514759,999823563977183.0,5090078175.403028,1000005089154188.5,2255930527103.062,0.9998184738990262,0.7382127832022094,1.0986361158958176,
NUMERICAL RESULT,399.672478155171,999837677401410.6,10182980352.053387,1000010181223750.4,3190832191353.1577,0.9998274944210627,0.7286545039299277,1.0965463220114933,
NUMERICAL RESULT,406.92461762187065,999856146851941.0,20150981848.807125,1000020147677106.5,4488679346718.748,0.9998359958700921,0.7188881387926102,1.0944006548599574,
NUMERICAL RESULT,414.3083486534617,999883463565394.6,39452089785.35441,1000039445936149.1,6280748014686.766,0.9998440114756074,0.7089095003205153,1.0921978287124512,
NUMERICAL RESULT,421.8260590060029,999928003467259.2,76431912238.28348,1000076420569212.4,8742252669858.092,0.999851571555029,0.6987144697426757,1.0899365346625822,
NUMERICAL RESULT,429.48017976187816,1000005252816531.6,146549441391.92688,1000146528740369.5,12105836598488.154,0.9998587033751363,0.6882991281613097,1.087615440351202,
NUMERICAL RESULT,437.2731861159637,1000143571812596.6,278141047622.75824,1000278103639137.4,16678817589548.896,0.9998654307647659,0.6776599968514738,1.085233189688353,
NUMERICAL RESULT,445.20759817605483,1000394377381998.1,522604051275.50214,1000522537109298.1,22865121287502.9,0.9998717733304132,0.6667944713679534,1.0827884025720746,
NUMERICAL RESULT,453.28598177782385,1000849917694350.1,972172656253.7717,1000972054033171.8,31193035866278.695,0.9998777450380786,0.6557015948252197,1.0802796746038492,
NUMERICAL RESULT,461.5109493145587,1001673878847537.9,1790527049614.0627,1001790318931729.2,42350159242418.55,0.999883351794189,0.6443834138613884,1.0777055768004618,
NUMERICAL RESULT,469.88516058196217,1003153223377739.4,3264635899151.449,1003264274534879.5,57227188795948.3,0.999888587478561,0.6328473102018137,1.0750646553020373,
NUMERICAL RESULT,478.4113236382783,1005784088230707.2,5890660556469.774,1005890040074964.2,76972528857571.88,0.9998934276688872,0.6211099024225328,1.0723554310760035,
NUMERICAL RESULT,487.0921956800253,1010409705649290.4,10511885510308.629,1010510833517091.4,103060068758429.47,0.9998978201386742,0.6092033115268707,1.0695763996167305,
NUMERICAL RESULT,495.9305839336214,1018431345144264.9,18529673769463.78,1018527916868462.1,137372920058553.47,0.9999016713748001,0.5971845613768008,1.066726030640574,
NUMERICAL RESULT,504.9293465631864,1032106366226015.9,32201536783001.09,1032198657551964.8,182306401987542.47,0.9999048294429087,0.5851480620365652,1.0638027677760544,"Above 500 K, fixed effective masses limit quantitative accuracy; use this result for qualitative temperature trends."
NUMERICAL RESULT,514.0913935948163,1054915811232892.8,55008744813601.18,1055004139296702.2,240894135682986.16,0.9999070664184,0.5732384518195562,1.0608050282488866,"Above 500 K, fixed effective masses limit quantitative accuracy; use this result for qualitative temperature trends."
NUMERICAL RESULT,523.4196878576304,1091915231231349.8,92007162777027.52,1092000018900660.6,316961757185805.9,0.9999080684588596,0.561655848973481,1.0577312025615666,"Above 500 K, fixed effective masses limit quantitative accuracy; use this result for qualitative temperature trends."
NUMERICAL RESULT,532.917245941893,1149905719232580.5,149998274232857.16,1149987594779965.8,415313493098459.2,0.9999074449997267,0.5506405695769538,1.054579654167219,"Above 500 K, fixed effective masses limit quantitative accuracy; use this result for qualitative temperature trends."
NUMERICAL RESULT,542.5871391745197,1237290593566115.5,237385831505123.38,1237370501383650.2,541957668049478.56,0.9999047620609895,0.5404290043888038,1.0513487191373974,"Above 500 K, fixed effective masses limit quantitative accuracy; use this result for qualitative temperature trends."
NUMERICAL RESULT,552.4324946122871,1363716238229451.8,363816653287901.25,1363795506920394.2,704378136208193.5,0.9998995849415616,0.5311936448122244,1.048036705823519,"Above 500 K, fixed effective masses limit quantitative accuracy; use this result for qualitative temperature trends."
NUMERICAL RESULT,562.456496053061,1539859932292915.5,539968431342498.06,1539940263726361.8,911859656359411.4,0.9998915009498482,0.5230011399108355,1.0446418945116163,"Above 500 K, fixed effective masses limit quantitative accuracy; use this result for qualitative temperature trends."
